asin,helpful,index,overall,overall_html,reviewText,reviewTime,reviewerID,reviewerName,sentiment,summarized_reviewText,summary,summary_sentiment,topic,topic_words,unixReviewTime
972683275,"{0,0}",161,4.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span>","Got this to replace a Peerless Paramount wall mount when I got my new TV.  Let me start off by saying it works as advertised.  But that won't get you 5 stars.  The problem is installation.  Maybe it's my own fault for thinking all TV wall mounts worked like the Peerless I had.  See, that one has a separate TV plate that you screw to the TV first.  Then you have the second piece (the actual wall mount) that you screw to the wall.  Once that's done, using the bracket mounted on the TV, you hang the TV on the wall mount and secure it with a single bolt.  One person can easily put a TV on the wall.Not so much with this one.  Yes, I will admit that once it's mounted, it's a more secure connection, but it's the mounting that's the problem.  You can't do it alone.  Depending on the weight of the TV, you will need at least one helper.  This mount is one piece, which means that you have to hold the TV to the wall-mounted plate while attaching it with screws.  That can get tricky, especially with heavier TVs (I used it for a while with my old LCD TV which weighs 40+ pounds).  They do get kudos for providing all the screws for all VESA types as well as a regular and an Allen wrench.Three stars for ease of installation, five stars for usability, for a combined four stars.  Make sure you get help when installing.","08 15, 2012",A3PR648T8RDRS,m m smits,0.9394,"<span style=""background-color: #FFFF00"">Got this to replace a Peerless Paramount wall mount when I got my new TV.</span> Let me start off by saying it works as advertised. But that won't get you 5 stars. The problem is installation. <span style=""background-color: #FFFF00"">Maybe it's my own fault for thinking all TV wall mounts worked like the Peerless I had.</span> <span style=""background-color: #FFFF00"">See, that one has a separate TV plate that you screw to the TV first.</span> <span style=""background-color: #FFFF00"">Then you have the second piece (the actual wall mount) that you screw to the wall.</span> <span style=""background-color: #FFFF00"">Once that's done, using the bracket mounted on the TV, you hang the TV on the wall mount and secure it with a single bolt.</span> <span style=""background-color: #FFFF00"">One person can easily put a TV on the wall.Not so much with this one.</span> <span style=""background-color: #FFFF00"">Yes, I will admit that once it's mounted, it's a more secure connection, but it's the mounting that's the problem.</span> You can't do it alone. <span style=""background-color: #FFFF00"">Depending on the weight of the TV, you will need at least one helper.</span> <span style=""background-color: #FFFF00"">This mount is one piece, which means that you have to hold the TV to the wall-mounted plate while attaching it with screws.</span> <span style=""background-color: #FFFF00"">That can get tricky, especially with heavier TVs (I used it for a while with my old LCD TV which weighs 40+ pounds).</span> They do get kudos for providing all the screws for all VESA types as well as a regular and an Allen wrench.Three stars for ease of installation, five stars for usability, for a combined four stars. Make sure you get help when installing.",Get a helper when installing,0.9494,0,mount wall tv,1344988800
972683275,"{0,0}",196,5.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span>",Mounting the TV after mounting on wall can be a handful.  It would have been nice to have some type of slide in mount for the TV so you did not have to hold it while putting in 4 screws.  That would make DIY one person installation easier.,"04 30, 2012",A1BKKEWFMHS7XU,R. Peck,0.5574,"<span style=""background-color: #FFFF00"">Mounting the TV after mounting on wall can be a handful.</span> <span style=""background-color: #FFFF00"">It would have been nice to have some type of slide in mount for the TV so you did not have to hold it while putting in 4 screws.</span> That would make DIY one person installation easier.",Good mount for medium size TV,0.6808,0,mount wall tv,1335744000
972683275,"{3,4}",145,4.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span>","Used this for a Panasonic 32"" LCD TV.  Mount works fine, instructions were minimal.  I was able to use the supplied hardware to attach the TV and to attach the mount to the wall.  I did have a problem hanging the TV, per the instructions you have to mount the unit and now attach the TV, this was not very easy so I removed the mounting plate at the pivor point and took it off the wall mount, mounted this on the TV and now re-attached to the TV mount, this was a lot easier.","07 17, 2012",A3SXYB8JPQ44LN,Marcel,-0.1835,"<span style=""background-color: #FFFF00"">Used this for a Panasonic 32"" LCD TV.</span> <span style=""background-color: #FFFF00"">Mount works fine, instructions were minimal.</span> <span style=""background-color: #FFFF00"">I was able to use the supplied hardware to attach the TV and to attach the mount to the wall.</span> <span style=""background-color: #FFFF00"">I did have a problem hanging the TV, per the instructions you have to mount the unit and now attach the TV, this was not very easy so I removed the mounting plate at the pivor point and took it off the wall mount, mounted this on the TV and now re-attached to the TV mount, this was a lot easier.</span>","Good product, poor instructions",-0.5458,0,mount wall tv,1342483200
972683275,"{70,92}",211,3.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span><span class=""fa fa-star""></span>","I purchased this mount for my 37 inch LCD TV.  Installation was easy...  The trouble I encountered was due to a bad wall stud finder.  Make sure you have one when you install this mount because you need to screw the mount into a wall stud or at least have one screw into a wall stud.The arm of the mount sags after I hooked up my 37in. LCD TV to the mount.  My TV is within the weight limit of this mount (less than 55lbs.) but the arm still sags due to the weight of the TV.  I guess as long as it supports my TV, the sagging shouldn't be an issue.  It just looks funny from the side.  I do retract the arm inward towards the wall to minimize the sagging and it also gives me the warm fuzzy feeling that the arm will be less likely to break off.Overall, for the price this mount is a great deal and works but I would suggest purchasing it for flat screen TVs less than 37 inches.  I would not hesitate to buy this mount again but for a 32 inch TV at most.","12 11, 2010",A27K5RT7VDB7BU,Stephan,0.9453,"<span style=""background-color: #FFFF00"">I purchased this mount for my 37 inch LCD TV.</span> Installation was easy... <span style=""background-color: #FFFF00"">The trouble I encountered was due to a bad wall stud finder.</span> <span style=""background-color: #FFFF00"">Make sure you have one when you install this mount because you need to screw the mount into a wall stud or at least have one screw into a wall stud.The arm of the mount sags after I hooked up my 37in.</span> <span style=""background-color: #FFFF00"">LCD TV to the mount.</span> <span style=""background-color: #FFFF00"">My TV is within the weight limit of this mount (less than 55lbs.)</span> <span style=""background-color: #FFFF00"">but the arm still sags due to the weight of the TV.</span> <span style=""background-color: #FFFF00"">I guess as long as it supports my TV, the sagging shouldn't be an issue.</span> It just looks funny from the side. <span style=""background-color: #FFFF00"">I do retract the arm inward towards the wall to minimize the sagging and it also gives me the warm fuzzy feeling that the arm will be less likely to break off.Overall, for the price this mount is a great deal and works but I would suggest purchasing it for flat screen TVs less than 37 inches.</span> <span style=""background-color: #FFFF00"">I would not hesitate to buy this mount again but for a 32 inch TV at most.</span>",It Works But Could Be Better,0.6509,0,mount wall tv,1292025600
972683275,"{0,1}",146,3.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span><span class=""fa fa-star""></span>","The product is good and as described.I have a 32&#34; Vizio TV and somehow, this wall mount seems to be a little too weak for my TV. I still managed to mount my TV just fine, but gets a little paranoid that it will give in within the next few months because the mount won't be able to carry it.But the full motion swing feature is amazing! Especially if you are in a larger room.","10 21, 2013",A3LSVS4YA2CEAX,"Maria David ""MD""",0.7159,"<span style=""background-color: #FFFF00"">The product is good and as described.I have a 32&#34; Vizio TV and somehow, this wall mount seems to be a little too weak for my TV.</span> <span style=""background-color: #FFFF00"">I still managed to mount my TV just fine, but gets a little paranoid that it will give in within the next few months because the mount won't be able to carry it.But the full motion swing feature is amazing!</span> Especially if you are in a larger room.","I have a 32"" Vizio TV",-0.2055,0,mount wall tv,1382313600
972683275,"{0,0}",72,4.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span>",This is a rather good tv mount. This tv mount works exactly as expected and described. I would buy again.,"02 11, 2013",A3ATF868IEP191,Eric,0.4404,"<span style=""background-color: #FFFF00"">This is a rather good tv mount.</span> <span style=""background-color: #FFFF00"">This tv mount works exactly as expected and described.</span> I would buy again.",good mount,0.4404,0,mount wall tv,1360540800
972683275,"{0,0}",34,5.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span>","I am using this mount for a 39 inch Vizio TV and it has been great. The installation process was quick and easy and we LOVE the variety of angles that you can get from this mount. We have it on a side wall in our bedroom and we can pull the tv out and move it completely perpendicular to the wall on which it is mounted if we want to. (We don't usually move it quite perpendicular, but it works to do this.)My only complaint is that the joints are a little on the stiff side. It takes quite a bit of force to move the TV from one position to another. It's a little hard for my wife to do-- especially with the TV mounted about 6ft up on the wall. It may be possible to loosen these pivot points, but I have not tried. I'm a little nervous about making it less stable if I do.Overall, it's a great mount. Highly recommended.","04 7, 2014",AUKEU9CW56TT4,B. Kilpatrick,0.9201,"<span style=""background-color: #FFFF00"">I am using this mount for a 39 inch Vizio TV and it has been great.</span> <span style=""background-color: #FFFF00"">The installation process was quick and easy and we LOVE the variety of angles that you can get from this mount.</span> <span style=""background-color: #FFFF00"">We have it on a side wall in our bedroom and we can pull the tv out and move it completely perpendicular to the wall on which it is mounted if we want to.</span> (We don't usually move it quite perpendicular, but it works to do this. )My only complaint is that the joints are a little on the stiff side. <span style=""background-color: #FFFF00"">It takes quite a bit of force to move the TV from one position to another.</span> <span style=""background-color: #FFFF00"">It's a little hard for my wife to do-- especially with the TV mounted about 6ft up on the wall.</span> It may be possible to loosen these pivot points, but I have not tried. <span style=""background-color: #FFFF00"">I'm a little nervous about making it less stable if I do.Overall, it's a great mount.</span> Highly recommended.",Easy to Mount; Rock-solid,0.8897,0,mount wall tv,1396828800
972683275,"{1,1}",58,3.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span><span class=""fa fa-star""></span>","I gave this mount 3 stars.5 to start because out of the box, and mounted on the wall, I really liked it for my daughter's room. The ability to move her 26"" TV around so she can play in other areas of the room is a welcomed addition.I subtracted 1 star because of the tacky instructions and poor cable management for something that moves at maximum, about 2 feet away from the wall.1 more star fell off because now that the TV is mounted, the mount seems to sag, even though there are two huge lag bolts in a stud mounting it. That parts not the problem, the problem is where the tv mounts to the plate itself, it seems no matter how many washers you use, it just does not make full contact. Also if you move the TV to a new position the mounts seems to want to ""fall"" in that direction on its hinges. SO it must be releveled by yanking on it every time it moves.Otherwise, it works I guess. But for $50 I'd rather have a stationary mount that I never have to worry about. I would not set a tv larger than a 30"" or so on this. I just don't trust it.","02 7, 2012",A39Z4OU2C7ENWH,Dave C,0.8261,"<span style=""background-color: #FFFF00"">I gave this mount 3 stars.5 to start because out of the box, and mounted on the wall, I really liked it for my daughter's room.</span> <span style=""background-color: #FFFF00"">The ability to move her 26"" TV around so she can play in other areas of the room is a welcomed addition.I subtracted 1 star because of the tacky instructions and poor cable management for something that moves at maximum, about 2 feet away from the wall.1 more star fell off because now that the TV is mounted, the mount seems to sag, even though there are two huge lag bolts in a stud mounting it.</span> <span style=""background-color: #FFFF00"">That parts not the problem, the problem is where the tv mounts to the plate itself, it seems no matter how many washers you use, it just does not make full contact.</span> <span style=""background-color: #FFFF00"">Also if you move the TV to a new position the mounts seems to want to ""fall"" in that direction on its hinges.</span> SO it must be releveled by yanking on it every time it moves.Otherwise, it works I guess. <span style=""background-color: #FFFF00"">But for $50 I'd rather have a stationary mount that I never have to worry about.</span> <span style=""background-color: #FFFF00"">I would not set a tv larger than a 30"" or so on this.</span> I just don't trust it.","Works, but I don't trust it",0.8261,0,mount wall tv,1328572800
972683275,"{1,1}",97,4.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star""></span>","Perhaps I misunderstood how to install the mount, but I:1) Installed the mount to the wall (easy enough)2) Attach TV the mount with some screws (difficult for one person)With one arm I held the TV (heavy!). The other arm was trying to attach some small screws connecting the TV to the mount. It took quite an effort to hold the TV for that long. Certainly having two people installing this would be waaaay easier :-)I have another similar mount where the TV back plate and the mount are separate parts. So once the back plate is installed, you slide the connecting parts together. Much easier! :-)","12 27, 2010",A1R2514DVWIIMV,Jamie Richardson,0.8531,"<span style=""background-color: #FFFF00"">Perhaps I misunderstood how to install the mount, but I:1) Installed the mount to the wall (easy enough)2) Attach TV the mount with some screws (difficult for one person)With one arm I held the TV (heavy!).</span> <span style=""background-color: #FFFF00"">The other arm was trying to attach some small screws connecting the TV to the mount.</span> <span style=""background-color: #FFFF00"">It took quite an effort to hold the TV for that long.</span> <span style=""background-color: #FFFF00"">Certainly having two people installing this would be waaaay easier :-)I have another similar mount where the TV back plate and the mount are separate parts.</span> So once the back plate is installed, you slide the connecting parts together. Much easier! :-)","Solid, but not the best mount I've had",0.7379,0,mount wall tv,1293408000
972683275,"{0,0}",199,5.0,"<span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span><span class=""fa fa-star checked""></span>","I was hesitant about mounting my larger flat screen (47&#34; LG) onto the wall - what happens if it falls off!  After looking at mounts at Target and Best Buy that were $100+, would this possibly work?Fast forward...  The mount took about 20 minutes to install (too longer to locate the studs than mount it).  The TV is on the wall and works wonderfully.  Very solid mount and good articulation.My only comments are the cord clips included are very weak.  I will be replacing them with black cable ties.  Also - they do need to have a second locking screw where you hang the TV on the articulating mount - I can wiggle my screen (tilt) by about 1/4&#34; since there is only a screw on the bottom.Overall, I liked the narrow wall mount and the 20&#34; extension.  Definitely would recommend for a TV that is 47&#34;.","08 7, 2013",A14R4K86STZFD2,RussiaDad,0.9348,"<span style=""background-color: #FFFF00"">I was hesitant about mounting my larger flat screen (47&#34; LG) onto the wall - what happens if it falls off!</span> <span style=""background-color: #FFFF00"">After looking at mounts at Target and Best Buy that were $100+, would this possibly work?Fast forward...</span> <span style=""background-color: #FFFF00"">The mount took about 20 minutes to install (too longer to locate the studs than mount it).</span> <span style=""background-color: #FFFF00"">The TV is on the wall and works wonderfully.</span> <span style=""background-color: #FFFF00"">Very solid mount and good articulation.My only comments are the cord clips included are very weak.</span> I will be replacing them with black cable ties. <span style=""background-color: #FFFF00"">Also - they do need to have a second locking screw where you hang the TV on the articulating mount - I can wiggle my screen (tilt) by about 1/4&#34; since there is only a screw on the bottom.Overall, I liked the narrow wall mount and the 20&#34; extension.</span> <span style=""background-color: #FFFF00"">Definitely would recommend for a TV that is 47&#34;.</span>","Great mount for my 47"" flat screen",0.8883,0,mount wall tv,1375833600
